id,company_name,signal_type,source,source_url,product_match,sector,score,confidence,keywords_summary,territory,sales_officer,keywords_matched,raw_data,discovered_at,status,notes
149,ACC Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/6409943,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for textile processing - 1000 KL"", ""location"": ""Andhra Pradesh""}",2025-10-22 00:00:00,NEW,
131,PWD Maharashtra,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/8864142,Bitumen,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Jute Batching Oil for road construction - 500 MT"", ""location"": ""Madhya Pradesh""}",2025-10-14 00:00:00,NEW,
251,Adani Power Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7322691,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for road construction - 2000 MT"", ""location"": ""Uttar Pradesh""}",2025-10-11 00:00:00,NEW,
263,JSW Steel Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/9845801,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for road construction - 500 MT"", ""location"": ""Punjab""}",2025-09-26 00:00:00,NEW,
373,Ambuja Cements Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7175727,Solvents,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Lubricants for textile processing - 2000 MT"", ""location"": ""Maharashtra""}",2025-09-24 00:00:00,NEW,
427,Adani Power Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/8621958,JBO,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Jute Batching Oil for equipment operation - 1000 KL"", ""location"": ""Punjab""}",2025-09-18 00:00:00,NEW,
528,Shapoorji Pallonji,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7353695,Bitumen,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Lubricants for road construction - 2000 MT"", ""location"": ""Jharkhand""}",2025-09-17 00:00:00,NEW,
341,ACC Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/9679166,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for textile processing - 5000 KL"", ""location"": ""Gujarat""}",2025-09-16 00:00:00,NEW,
155,Adani Power Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7828376,JBO,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Jute Batching Oil for equipment operation - 5000 KL"", ""location"": ""Gujarat""}",2025-09-14 00:00:00,NEW,
29,Arvind Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/2904480,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for equipment operation - 2000 MT"", ""location"": ""Odisha""}",2025-09-12 00:00:00,NEW,
172,Reliance Industries Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/8345205,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for textile processing - 500 MT"", ""location"": ""Andhra Pradesh""}",2025-09-05 00:00:00,NEW,
552,Vedanta Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7273930,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for paint production - 2000 MT"", ""location"": ""Karnataka""}",2025-09-04 00:00:00,NEW,
303,Vedanta Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7372502,Bitumen,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events] | Diesel, HSD [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Diesel"", ""HSD""]}","{""description"": ""NIT for supply of HSD (Diesel) for road construction - 5000 KL"", ""location"": ""Uttar Pradesh""}",2025-09-03 00:00:00,NEW,
499,Hindalco Industries,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/8473714,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for power generation - 2000 MT"", ""location"": ""Haryana""}",2025-09-02 00:00:00,NEW,
177,NTPC Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/1656648,MTO,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events] | Mineral Turpentine Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Mineral Turpentine Oil""]}","{""description"": ""NIT for supply of Mineral Turpentine Oil for power generation - 2000 MT"", ""location"": ""Odisha""}",2025-08-26 00:00:00,NEW,
514,Ambuja Cements Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/9962511,Bitumen,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Lubricants for road construction - 5000 KL"", ""location"": ""Punjab""}",2025-08-26 00:00:00,NEW,
474,Adani Power Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/3953793,MTO,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events] | Mineral Turpentine Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Mineral Turpentine Oil""]}","{""description"": ""NIT for supply of Mineral Turpentine Oil for equipment operation - 1000 KL"", ""location"": ""Haryana""}",2025-08-24 00:00:00,NEW,
235,Tata Steel Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/9899119,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for power generation - 5000 KL"", ""location"": ""West Bengal""}",2025-08-19 00:00:00,NEW,
128,Gujarat State Petronet Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/2063132,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for textile processing - 5000 KL"", ""location"": ""Tamil Nadu""}",2025-08-15 00:00:00,NEW,
400,Bharat Petroleum Corp Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/1495006,HSD,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Diesel, HSD [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Diesel"", ""HSD""]}","{""description"": ""NIT for supply of HSD (Diesel) for industrial use - 500 MT"", ""location"": ""Chhattisgarh""}",2025-08-09 00:00:00,NEW,
486,Larsen & Toubro Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7143017,Bitumen,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Bitumen, VG-30 [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Bitumen"", ""VG-30""]}","{""description"": ""NIT for supply of VG-30 Bitumen for road construction - 500 MT"", ""location"": ""Haryana""}",2025-08-01 00:00:00,NEW,
507,Border Roads Organisation,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7931845,JBO,Industrial,70.0,60.0,"NIT, Supply of [regulatory_events]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""]}","{""description"": ""NIT for supply of Jute Batching Oil for paint production - 2000 MT"", ""location"": ""Rajasthan""}",2025-07-31 00:00:00,NEW,
506,Tata Steel Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/5677366,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for equipment operation - 2000 MT"", ""location"": ""Tamil Nadu""}",2025-07-28 00:00:00,NEW,
57,Indian Oil Corporation Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/9647924,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for equipment operation - 5000 KL"", ""location"": ""Tamil Nadu""}",2025-07-24 00:00:00,NEW,
243,JSW Steel Ltd,Government Tender,GeM,https://market.gem.gov.in/ra/bids/GEM/2026/B/7089896,Furnace Oil,Industrial,70.0,95.0,"NIT, Supply of [regulatory_events] | Furnace Oil [commodities]",Unassigned,,"{""regulatory_events"": [""NIT"", ""Supply of""], ""commodities"": [""Furnace Oil""]}","{""description"": ""NIT for supply of Furnace Oil for industrial use - 2000 MT"", ""location"": ""Punjab""}",2025-07-24 00:00:00,NEW,
